id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	duration_h	in_range_h	in_range_percent	impermanent_loss	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp	pool_id	pool_symbol
274153	-284000	-283750	250	31491245640184575502763	15180585000	31902.44	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0x93C88635a15D923f72742d63033F6f3e93eE9815	1	-887272	887272	20	20	2	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274154	-285000	-283500	1500	8383118251446345966972	11802646271	16254.08	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0xD17CB0d6B801F46dc7227947749e2291f518381A	1	-887272	887272	0	0	22	7	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274156	-284250	-283500	750	5227600985737143657556	2612520362	5388.38	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0x576142eAd1fDbbf3be8b2b037B9834234181bBF8	1	-887272	887272	0	0	7	7	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274161	-284600	-283600	1000	1476331297351161978314	1917921257	2701.85	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0x6f7D44a5926DC8a706a0284550c5B5dD712888b1	1	-286080	887272	50	100	14	5	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274186	-284050	-283750	300	618106777680260394252	382046679	710.26	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0x3F6583969E96f5CAA02118807be5515EF109c520	1	-887272	887272	0	0	3	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274205	-284350	-283950	400	0	628242846	628.24	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0x0FC832F3c58cf6a24dAFFacC082785C097e2381f	0	0	0	0	0	4	3	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274211	-284300	-283850	450	78694097686381901266	590833218	632.62	0.00	0.00	0.00	2	2	100	0.01	0.0000	0.0000	0.0000	0.0000	0x0FC832F3c58cf6a24dAFFacC082785C097e2381f	0	0	0	0	0	4	4	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274225	-284450	-283450	1000	6851682686668081436155	4911733044	8549.98	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0x1aaa7ba2Df279D29A174E6E5Acd84378593A18fe	1	-887272	887272	0	0	12	7	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274240	-284050	-283650	400	2120316832344694708193	1173899035	2299.79	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0xc7caBa537c9edf617ac6CD3ea587dBd803837b3c	0	0	0	0	0	4	3	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274242	-283950	-283700	250	731434351278537922854	298983020	687.37	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0xd04A1CfaD2d77B8bd5C18a53cc128A87Ed9ff36C	1	-887272	887272	0	0	2	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
