id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp
129015	1	3	2	276.764542	244.44507	0	521.277948	521.209612	0.02422798241758522	0.14	1.70	85	39	1.2001	1.2003	0.0002	1.2002	0x154b4661a08eaffc746bdf7451a17ee50ee904cf	TRUE	-887272	887272	0	0	1	0	100
117081	-3	0	3	85807.22546	14093.871806	70580.624449	29316.898079	99901.097266	4.1995591050696754	0.13	1.53	100	100	0.9997	1.2000	0.0003	0.9999	0x9ea3f8db46ef491fe8d4163f6339352fdf1f1b52	FALSE	0	0	0	0	0	0	0
154683	6	7	1	24817.657976	33761.677387	0	58596.186689	58579.335363000006	2.5436959436026285	0.13	1.58	0	31	1.2006	1.2007	0.0001	1.2007	0xc82335bbdc978ce2e1f1c6c4f9e5bb2270bb2af1	FALSE	0	0	0	0	0	0	0
130084	1	2	1	708.102771	3290.712746	0	3998.950872	3998.815517	0.17528563916253698	0.13	1.60	100	93	1.2001	1.2002	0.0001	1.2002	0x07d5863086aae645297d2eb6286268d6adc2171e	TRUE	-887272	887272	0	0	0	0	100
191863	3	4	1	454.570482	3343.000476	0	3797.75009	3797.5709580000002	0.16938120401780035	0.13	1.63	0	50	1.2003	1.2004	0.0001	1.2004	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
129128	1	3	2	537.76862	474.968627	0	1012.870028	1012.737247	0.04389674218727104	0.13	1.58	90	39	1.2001	1.2003	0.0002	1.2002	0x7617452156f474836604c1a79c79c0627be5fe74	FALSE	0	0	0	0	1	0	0
153536	8	9	1	1944.587299	36972.895624	38886.163248	0	38917.482922999996	1.508212817281732	0.12	1.41	0	88	1.2008	1.2009	0.0001	1.2009	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
119157	-4	-2	2	119.451758	1876.132892	0	1995.560047	1995.58465	0.07959466565079144	0.12	1.46	100	100	0.9996	0.9998	0.0002	0.9997	0x80e42cad02a7f4b30269fd4241d9c33f039a142e	FALSE	0	0	0	0	1	0	0
154713	6	7	1	14641.847104	19815.483051	0	34467.27112	34457.330155	1.2845737335172598	0.11	1.36	0	25	1.2006	1.2007	0.0001	1.2007	0xc82335bbdc978ce2e1f1c6c4f9e5bb2270bb2af1	FALSE	0	0	0	0	0	0	0
129257	1	2	1	309.965989	4336.773346	0	4646.800296	4646.739335	0.3548592181912868	0.11	1.39	8	4	1.2001	1.2002	0.0001	1.2002	0xc82335bbdc978ce2e1f1c6c4f9e5bb2270bb2af1	FALSE	0	0	0	0	0	0	0
140953	11	12	1	1115.300234	2875.381392	3987.417168	0	3990.6816259999996	0.14544936235018047	0.11	1.33	0	46	1.2011	1.2012	0.0001	1.2012	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
