autoRebalance	cutoffTickLow	cutoffTickHigh	bufferTicksBelow	bufferTicksAbove	positionCount	avgTickSpacesBelow	avgTickSpacesAbove	avgDustBP	avgPriceImpactBP	avgSlippageBP
True	-887272	887272	125	125	3	1.3333333333333333	1.6666666666666667	100.0	50.0	50.0
True	-887272	887272	150	150	29	3.2758620689655173	2.2758620689655173	98.27586206896552	48.62068965517241	48.62068965517241
True	-887272	887272	150	250	2	3.5	3.5	100.0	50.0	50.0
True	-887272	887272	200	-100	3	3.3333333333333335	4.0	300.0	50.0	100.0
True	-887272	887272	200	100	4	3.0	2.0	100.0	50.0	50.0
True	-887272	887272	200	200	45	5.777777777777778	5.155555555555556	101.11111111111111	52.888888888888886	35.55555555555556
True	-887272	887272	250	250	10	6.0	5.0	100.0	95.0	65.0
True	-887272	887272	300	150	2	2.0	2.0	100.0	50.0	50.0
True	-887272	887272	300	300	2	7.0	5.0	100.0	10.0	10.0
True	-887272	887272	350	400	2	9.0	8.0	100.0	50.0	50.0
True	-887272	887272	400	400	6	5.833333333333333	4.666666666666667	100.0	36.666666666666664	36.666666666666664
True	-887272	887272	500	0	10	0.0	0.0	100.0	50.0	50.0
True	-887272	887272	500	500	3	3.3333333333333335	3.0	83.33333333333333	53.333333333333336	53.333333333333336
True	-887272	887272	600	100	1	0.0	0.0	50.0	50.0	50.0
True	-887272	887272	600	150	3	2.3333333333333335	2.0	100.0	50.0	50.0
True	-887272	887272	1000	-10	1	15.0	14.0	100.0	50.0	50.0
True	-887272	887272	1000	1000	6	3.5	2.0	100.0	75.0	75.0
True	-887272	887272	3000	5000	1	3.0	1.0	100.0	50.0	50.0
True	-887272	887272	3500	3000	1	15.0	16.0	100.0	50.0	50.0
True	-887272	887272	5000	0	1	12.0	5.0	100.0	35.0	25.0
True	-887272	887272	10000	0	1	12.0	5.0	100.0	35.0	25.0
True	-887272	887272	10000	8	2	5.0	5.0	100.0	50.0	50.0
True	-414487	887272	0	0	2	0.0	0.0	1000.0	11.0	11.0
True	-292420	-281433	50	50	1	0.0	1.0	300.0	300.0	300.0
True	-290394	-278888	1000	1000	15	6.133333333333334	5.533333333333333	50.0	10.0	10.0
True	-288037	-282655	1500	1500	3	2.0	2.0	50.0	10.0	10.0
True	-286823	-284090	0	0	2	3.0	2.0	300.0	300.0	300.0
True	-286823	-283665	0	0	1	3.0	2.0	300.0	300.0	300.0
True	-286500	887272	0	0	11	5.818181818181818	4.818181818181818	300.0	100.0	100.0
True	-286268	-281433	0	0	28	5.535714285714286	5.392857142857143	100.0	50.0	50.0
True	-286080	887272	25	50	2	6.0	5.0	100.0	50.0	50.0
True	-286080	887272	50	100	15	9.466666666666667	4.2	100.0	50.0	50.0
True	-285488	-284765	15	25	1	3.0	4.0	100.0	50.0	50.0
True	-285488	-284535	33	33	15	2.4	2.0	100.0	50.0	50.0
True	-285488	-283458	0	0	2	1.0	0.0	300.0	300.0	300.0
True	-285488	-281433	0	0	8	1.25	1.375	100.0	50.0	50.0
True	-285000	-281946	100	100	3	12.666666666666666	11.666666666666666	100.0	50.0	50.0
True	-285000	-281946	200	200	2	14.0	13.0	100.0	50.0	50.0
True	-285000	-281105	50	50	5	4.0	3.0	100.0	50.0	50.0
True	-285000	-281105	100	100	15	9.2	8.2	100.0	50.0	50.0
True	-284900	-281859	200	200	3	8.666666666666666	7.666666666666667	100.0	50.0	50.0
True	-284900	-281859	500	500	2	14.5	10.5	100.0	50.0	50.0
True	-284882	-281859	100	100	4	12.0	11.0	100.0	50.0	50.0
True	-284882	-281859	200	200	1	8.0	7.0	100.0	50.0	50.0
True	-284765	-280945	100	100	1	10.0	9.0	100.0	50.0	50.0
True	-284310	887272	20	20	18	1.0	1.0	100.0	50.0	50.0
True	-284310	887272	50	20	1	2.0	1.0	100.0	50.0	50.0
True	-284310	887272	100	20	2	1.5	1.0	100.0	50.0	50.0
True	-283256	-281433	0	0	1	3.0	0.0	100.0	50.0	50.0
True	-283256	887272	0	0	39	2.2051282051282053	1.0769230769230769	100.0	50.0	50.0
True	-282002	887272	50	50	2	2.0	1.0	100.0	50.0	50.0
True	-282002	887272	150	50	2	2.0	1.0	100.0	50.0	50.0
True	-281601	887272	2000	0	4	2.0	2.0	100.0	50.0	50.0
True	-280633	887272	0	0	1	23.0	23.0	100.0	50.0	50.0
True	-279891	887272	0	0	2	8.0	7.0	100.0	30.0	30.0
True	-279472	887272	0	0	2	4.0	3.0	100.0	25.0	25.0
True	-279472	887272	200	0	3	4.0	3.0	100.0	25.0	25.0
True	-279472	887272	200	50	1	4.0	3.0	100.0	25.0	25.0
True	-278188	887272	0	0	11	6.454545454545454	5.454545454545454	100.0	100.0	50.0
True	-276425	-275371	1	1	4	0.0	0.0	100.0	50.0	10.0
True	-276385	-276315	0	0	1	0.0	0.0	100.0	5.0	2.0
True	-85497	-80411	200	200	4	10.0	9.0	100.0	50.0	50.0
True	-46850	887272	0	0	1	0.0	0.0	1000.0	11.0	11.0
True	-8917	-944	50	50	23	0.5217391304347826	0.08695652173913043	100.0	97.82608695652173	50.0
True	-7986	-2877	50	50	3	0.0	0.6666666666666666	100.0	100.0	100.0
True	-5979	0	100	100	7	0.0	0.0	100.0	114.28571428571429	92.85714285714286
True	-5979	887272	100	100	1	0.0	0.0	100.0	50.0	50.0
True	-5109	-3567	50	50	1	0.0	0.0	100.0	120.0	120.0
True	-1054	59	100	100	6	1.0	0.0	100.0	50.0	50.0
True	-1054	3364	25	25	2	0.0	0.0	100.0	100.0	100.0
True	-513	887272	0	0	3	0.0	0.0	100.0	100.0	100.0
True	-101	102	0	0	17	1.0	0.058823529411764705	100.0	30.0	20.0
True	-101	953	0	0	3	0.0	0.0	50.0	10.0	10.0
True	-51	49	5	5	2	0.0	0.0	300.0	300.0	300.0
True	0	29	0	0	1	1.0	0.0	100.0	10.0	2.0
True	0	39	0	0	2	0.0	0.0	100.0	10.0	10.0
True	0	887272	0	0	2	1.0	0.0	100.0	7.5	2.0
True	487	887272	0	0	1	0.0	0.0	100.0	100.0	100.0
True	6734	11713	1500	1500	2	8.0	8.0	50.0	50.0	50.0
True	52472	887272	10	10	6	0.0	0.0	100.0	100.0	100.0
True	52985	887272	0	0	3	6.0	6.0	100.0	50.0	50.0
True	53281	887272	0	0	2	9.0	10.0	100.0	50.0	50.0
True	224107	887272	0	0	1	9.0	9.0	100.0	50.0	50.0
True	224126	887272	0	0	1	9.0	9.0	100.0	50.0	50.0
True	226732	244389	1500	1500	6	4.0	3.5	50.0	50.0	50.0
True	230270	241256	25	25	20	0.05	0.0	100.0	100.0	100.0
True	230270	241256	50	50	4	0.0	0.0	100.0	100.0	100.0
True	231899	887272	0	0	1	14.0	14.0	100.0	50.0	50.0
True	232093	241256	20	20	13	0.0	0.0	100.0	50.0	50.0
True	235576	887272	0	0	2	4.0	3.0	300.0	100.0	100.0
True	252344	262461	0	0	33	4.848484848484849	3.8484848484848486	100.0	50.0	78.78787878787878
True	269452	887272	0	10	1	10.0	7.0	100.0	50.0	50.0
True	276811	887272	0	0	1	12.0	5.0	100.0	35.0	25.0
True	286620	293868	200	200	7	3.857142857142857	3.0	100.0	50.0	50.0
True	286620	293868	1000	1000	3	0.3333333333333333	0.0	100.0	50.0	50.0
True	289542	299351	1500	1500	4	0.0	0.0	100.0	50.0	50.0
True	289542	299351	2500	2500	2	0.0	0.0	100.0	50.0	50.0
True	290187	887272	400	400	3	6.0	6.0	50.0	50.0	50.0
True	355338	355485	0	0	1	1.0	2.0	100.0	50.0	50.0
