wallet	ichi_vault	apr	total_days	deposit_value	reward_value	deposit_time	deposit_asset0	deposit_asset1
0xe9a71041a30aa685d19164561d699a8f33fa0730	0xf8fa00354778a31cbcc5988ea578a227d3982675	5.40	1	1000.00	0.1479	25/03/13 03:03:00	USDCE	scBTC
0x50601826c29ea5e8fbeb3da68521f0b61200fa17	0x0631508b6693731dd9f7baea849bf9eec5e74462	5.02	20	820.02	2.1622	25/04/27 22:04:00	USDC.e	scBTC
0x3f888f4e16a08c6b3745ddbade98e24569852fa4	0x0631508b6693731dd9f7baea849bf9eec5e74462	4.21	9	1061.98	1.1019	25/04/03 17:04:00	USDCE	scBTC
0xafe350c76d31b73b5901eaccb86f2834c5ec0a3b	0x0631508b6693731dd9f7baea849bf9eec5e74462	4.21	33	32097.51	122.2753	25/04/05 18:04:00	USDCE	scBTC
0xcdc7b771a0ef67519cfeba630451bfe1736ef344	0xf8fa00354778a31cbcc5988ea578a227d3982675	4.16	65	1.39	0.0102	25/03/13 15:03:00	USDC.e	scBTC
0x1a74108958c18bb519d05a878ca92ea1dd18e1b2	0x0631508b6693731dd9f7baea849bf9eec5e74462	3.99	11	1374.53	1.6516	25/05/05 05:05:00	USDCE	scBTC
0x1a1e9c7a68e7184f4f103a895b3dc612ee745136	0x0631508b6693731dd9f7baea849bf9eec5e74462	3.80	57	362.92	2.1523	25/03/13 03:03:00	USDCE	scBTC
0xb59e6d31dd9d2c38b5b1bbfe019be46800b917bf	0x0631508b6693731dd9f7baea849bf9eec5e74462	3.58	65	203.72	1.2987	25/03/13 03:03:00	USDC.e	scBTC
0x70af2e1240d4b465ba9eb7985c36a6dbefcae84c	0xf8fa00354778a31cbcc5988ea578a227d3982675	3.34	38	1994.08	6.9389	25/03/24 17:03:00	USDCE	scBTC
0x5dd1e946643f5d7318f5e5163ecc49e4a8905068	0xf8fa00354778a31cbcc5988ea578a227d3982675	2.89	59	679.96	3.1450	25/03/19 16:03:00	USDC.e	scBTC
0x2d88016d3d0a209e0bada929711d5e4999df74d5	0xf8fa00354778a31cbcc5988ea578a227d3982675	2.33	17	2445.02	2.5416	25/04/30 18:04:00	USDC.e	scBTC
