wallet	ichi_vault	apr	total_days	deposit_value	reward_value	deposit_time	deposit_asset0	deposit_asset1
0x70af3532796914974d1d7e6a37c9accf8aa1fbe5	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	24.13	2	2059.32	2.7234	25/02/24 02:02:00	WS	scBTC
0x23d8330989fbeb39a297f8bffabada77f1b9a542	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	23.67	3	11.76	0.0208	25/05/14 07:05:00	wS	scBTC
0x59c1425324d8fed8ac56af0976984b7e4e8178fa	0xe67200254a820cc4221de983d56d364ce1dfc193	22.77	9	1982.74	11.1336	25/02/24 19:02:00	WS	scBTC
0x9f85f324fb9c649ad694a167482067d90920e9e8	0xe67200254a820cc4221de983d56d364ce1dfc193	19.97	17	2238.33	20.8212	25/02/24 03:02:00	WS	scBTC
0x0f1ff2019f5a0fbd27ca9a4b8dc5ca195d45a0d9	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	19.85	1	37499.54	20.3937	25/02/24 06:02:00	WS	scBTC
0xa609388ec932e26500036e4a80ff3fa13507f408	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	19.27	19	3390.98	34.0151	25/04/06 00:04:00	WS	scBTC
0x39858bf4b981c4b0c1e5acc79c00d190b20a4411	0xe67200254a820cc4221de983d56d364ce1dfc193	18.03	4	321.46	0.6352	25/02/28 02:02:00	WS	scBTC
0x4e430992db6f3bddbc6a50d1513845f087e9af4a	0xe67200254a820cc4221de983d56d364ce1dfc193	17.85	3	11.98	0.0129	25/05/14 20:05:00	wS	scBTC
0x45854310c3302c5dab9c0c745e8058d485a4ae8a	0xe67200254a820cc4221de983d56d364ce1dfc193	17.74	4	103.00	0.2003	25/02/27 06:02:00	WS	scBTC
0xfd713ecff6f473827e01d7c8cf50dadda4281262	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	17.22	35	67914.28	1121.3393	25/03/07 01:03:00	WS	scBTC
0x75858d33149d6931039da0efeeae2e7a0c1e8c03	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	17.04	25	5070.26	59.1609	25/03/20 17:03:00	WS	scBTC
0x9d6b7474b60b7f2d9853314679d1fe75a55c2bce	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	16.96	4	403.38	0.7496	25/02/26 13:02:00	WS	scBTC
0x06dfeeef76f8d844721d62ce3cf2880230b79ffe	0xe67200254a820cc4221de983d56d364ce1dfc193	16.91	6	1899.88	5.2804	25/02/28 00:02:00	WS	scBTC
0xa792f5eb01c3f856502e2e56368c900c8882b2f9	0xe67200254a820cc4221de983d56d364ce1dfc193	16.80	3	405.15	0.5595	25/02/28 10:02:00	WS	scBTC
0x83943a422b5ec0be815ca5c9adc4a39a00097920	0xe67200254a820cc4221de983d56d364ce1dfc193	16.50	2	1676.61	1.5162	25/02/27 16:02:00	WS	scBTC
0xfa905a2915c55bcf11d21d75b11a690e2fa044da	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	16.24	22	1621.17	15.8735	25/03/20 05:03:00	WS	scBTC
0x733b2d8e1714860d83cb335f8ca59baea148dde0	0xe67200254a820cc4221de983d56d364ce1dfc193	16.11	23	599.72	6.0864	25/02/24 11:02:00	WS	scBTC
0x221a3427c70f00faac000fbba0c3c06b463158a1	0xe67200254a820cc4221de983d56d364ce1dfc193	16.07	1	628.09	0.2765	25/02/24 03:02:00	WS	scBTC
0x1b648ade1ef219c87987cd60eba069a7faf1621f	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	15.80	74	29723.36	952.0711	25/02/24 05:02:00	WS	scBTC
0x5d994fa73c2613bcb41b937544d7486711a540f8	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	15.80	25	735.16	7.9553	25/03/20 13:03:00	WS	scBTC
0x7aeab3114db663a819196a32649680552c770621	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	15.74	19	6305.09	51.6749	25/03/30 02:03:00	WS	scBTC
0x1f7ee81e185192e1be41f9b169ece34b82c10d64	0xe67200254a820cc4221de983d56d364ce1dfc193	15.49	33	5481.58	75.1702	25/04/14 17:04:00	wS	scBTC
0x531bef9b0c386ca1ee9cc0f58c7b5f21d00d8689	0xe67200254a820cc4221de983d56d364ce1dfc193	15.46	36	113.87	1.6935	25/04/11 22:04:00	wS	scBTC
0x052c69a130e96394bee3f2555917098859061577	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	15.27	10	32.83	0.1373	25/02/24 22:02:00	WS	scBTC
0x818793666bd9c5db5a5a857dbce731a623963e58	0xe67200254a820cc4221de983d56d364ce1dfc193	15.27	5	80.06	0.1675	25/02/27 06:02:00	WS	scBTC
0x1bcf16d2f5efb8333c86118f874f16378b090be0	0xe67200254a820cc4221de983d56d364ce1dfc193	15.23	20	44.86	0.3720	25/04/27 04:04:00	wS	scBTC
0x8435f1802716fb812b46b4e96dd943ec3f6c46be	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	15.10	17	22590.13	158.8812	25/03/01 20:03:00	WS	scBTC
0x2be250612790d1df5ebfea46c2346654cd7a0afa	0xe67200254a820cc4221de983d56d364ce1dfc193	15.02	26	4496.67	48.1171	25/02/25 02:02:00	WS	scBTC
0xe9a71041a30aa685d19164561d699a8f33fa0730	0xe67200254a820cc4221de983d56d364ce1dfc193	14.76	14	8963.42	50.7455	25/02/28 00:02:00	WS	scBTC
0x7aadcc0ccf292dedb7deb8d58a0fcf6b957f4322	0xe67200254a820cc4221de983d56d364ce1dfc193	14.51	16	77.45	0.4926	25/02/26 19:02:00	WS	scBTC
0xa792f5eb01c3f856502e2e56368c900c8882b2f9	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	14.50	5	362.74	0.7208	25/02/26 06:02:00	WS	scBTC
0x593d7d712e6b79b63e3bbe6f1cc8b8c11fc8abe4	0xe67200254a820cc4221de983d56d364ce1dfc193	13.96	10	1948.97	7.4530	25/03/03 09:03:00	WS	scBTC
0x3b8d5ec7c29373bd03f43fe2257d73ccc7b0fa38	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	13.93	69	34968.13	920.8429	25/03/07 17:03:00	WS	scBTC
0xf04aa102836694bbcd92d4848cfe340ecc7cbf6c	0xe67200254a820cc4221de983d56d364ce1dfc193	13.80	74	55.10	1.5280	25/03/04 16:03:00	wS	scBTC
0x74d63167e3b599682abb44777eceff6abd029ee7	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	13.64	1	2824.87	1.0555	25/02/24 02:02:00	WS	scBTC
0x3e97392738081abe67f7674b28204fccc0008d40	0xe67200254a820cc4221de983d56d364ce1dfc193	13.39	18	55091.08	363.6641	25/02/28 02:02:00	WS	scBTC
0xb1ae6e6a6096e7dc35751ba7bd50edcfb8ae21c9	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	13.38	18	1941.63	12.8105	25/03/27 06:03:00	WS	scBTC
0xa9ba157770045cffe977601fd46b9cc3c4429604	0xe67200254a820cc4221de983d56d364ce1dfc193	12.91	3	14787.70	15.6852	25/02/24 15:02:00	WS	scBTC
0xbe19395a6664aa6f55521b00e5269b745502a05a	0xe67200254a820cc4221de983d56d364ce1dfc193	12.58	73	1642.58	41.3432	25/02/24 04:02:00	WS	scBTC
0xe6c87789a9decab41024026811c9590f78d16639	0xe67200254a820cc4221de983d56d364ce1dfc193	12.44	16	172.70	0.9419	25/03/03 16:03:00	WS	scBTC
0x11d44b21c1f3732a1d34f0078e1ad73750603a61	0xe67200254a820cc4221de983d56d364ce1dfc193	12.33	30	648.86	6.5774	25/02/27 17:02:00	WS	scBTC
0xd211dbe903af354658238731b75354f522f11bee	0xe67200254a820cc4221de983d56d364ce1dfc193	12.25	5	33.30	0.0559	25/03/09 15:03:00	WS	scBTC
0x8d79ce1ec51263d606a3c8421f71c62ddd0dac7a	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	12.19	22	870.45	6.3967	25/03/20 05:03:00	WS	scBTC
0x6a24d5689f57713e0f2b5c75b101005575db7e63	0xe67200254a820cc4221de983d56d364ce1dfc193	11.65	2	3435.72	2.1928	25/02/24 02:02:00	WS	scBTC
0x9aea2682c39d3f96ddc82bafba20163a0c5bf516	0xe67200254a820cc4221de983d56d364ce1dfc193	11.55	27	120.18	1.0266	25/02/24 03:02:00	WS	scBTC
0x11b5caf3ad10d3f4384cdb8ea46f525802d52113	0xe67200254a820cc4221de983d56d364ce1dfc193	11.45	18	59.34	0.3350	25/03/07 03:03:00	WS	scBTC
0x038edc61b0913f5a1fb5d4c9c05ec278b595e652	0xe67200254a820cc4221de983d56d364ce1dfc193	11.25	56	521.67	9.0080	25/02/28 00:02:00	WS	scBTC
0x9e18b5825c79cda38f25e78dc36bc3373c21696d	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	11.16	46	564.39	7.8212	25/04/01 17:04:00	wS	scBTC
0x41abac93b3e0aca8956a66e112add7e7808765b8	0xe67200254a820cc4221de983d56d364ce1dfc193	10.79	82	20895.85	506.6008	25/02/24 18:02:00	WS	scBTC
0x88e8e71b29512160968a647ab0303bbb3449171a	0xe67200254a820cc4221de983d56d364ce1dfc193	10.61	24	205.30	1.4327	25/03/01 08:03:00	WS	scBTC
0xbccc4c5855a95f88dd0d356b4bbf9afc536c4f17	0xe67200254a820cc4221de983d56d364ce1dfc193	10.53	45	75.89	0.9856	25/02/28 17:02:00	WS	scBTC
0x7e7bf6fb2332e3990e1088955c46d814f6e03367	0xe67200254a820cc4221de983d56d364ce1dfc193	10.40	1	10367.95	2.9553	25/02/28 08:02:00	WS	scBTC
0x9ec823021f2d4e83f6d67b66e053376513fb6832	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	9.47	26	8149.55	54.9742	25/03/19 10:03:00	WS	scBTC
0xebef3a0c05653f61cb7b365299f780622c346555	0xe67200254a820cc4221de983d56d364ce1dfc193	9.21	46	5346.39	62.0709	25/03/16 21:03:00	WS	scBTC
0x3f888f4e16a08c6b3745ddbade98e24569852fa4	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	9.17	15	281.70	1.0616	25/03/27 10:03:00	WS	scBTC
0x6292dda8a73837459ced293540668ddc6bae1a12	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	8.53	1	318.46	0.0744	25/04/05 08:04:00	WS	scBTC
0xac096613877c0cde45ee6548f815ef752b440ecb	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	8.13	1	1029.83	0.2295	25/02/24 02:02:00	WS	scBTC
0xe66fbc8be19bd6b60a7fdc743a1019435ee0a04f	0xe67200254a820cc4221de983d56d364ce1dfc193	8.09	2	715.91	0.3174	25/03/07 01:03:00	WS	scBTC
0xafe350c76d31b73b5901eaccb86f2834c5ec0a3b	0xe67200254a820cc4221de983d56d364ce1dfc193	7.96	8	25120.93	43.8450	25/02/27 05:02:00	WS	scBTC
0xea869669210a69b035b382e0f2a498b87dc6a45c	0xe67200254a820cc4221de983d56d364ce1dfc193	7.81	15	211517.43	679.1554	25/02/25 23:02:00	WS	scBTC
0x1b648ade1ef219c87987cd60eba069a7faf1621f	0xe67200254a820cc4221de983d56d364ce1dfc193	7.39	12	175769.50	426.8046	25/02/24 04:02:00	WS	scBTC
0x392ba366ce22e7714f10857bb34c82348cd367b0	0xe67200254a820cc4221de983d56d364ce1dfc193	7.29	27	75.00	0.4043	25/03/20 03:03:00	WS	scBTC
0xc09252451831d0c436e11debff4558c66437ab7f	0xe67200254a820cc4221de983d56d364ce1dfc193	6.70	80	571.30	8.3275	25/02/26 14:02:00	wS	scBTC
0x39858bf4b981c4b0c1e5acc79c00d190b20a4411	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	6.10	1	19.27	0.0032	25/02/27 03:02:00	WS	scBTC
0x3e97392738081abe67f7674b28204fccc0008d40	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	5.77	1	1607.10	0.2540	25/02/27 05:02:00	WS	scBTC
0x45854310c3302c5dab9c0c745e8058d485a4ae8a	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	5.58	20	412.49	1.2611	25/02/27 04:02:00	WS	scBTC
0x0bcf7b084613f1ca63fa47918cc5f3b383be4aab	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	5.51	1	970.15	0.1465	25/02/24 02:02:00	WS	scBTC
0x39e746fb643789facb3031577eddf0ee996ea701	0xe67200254a820cc4221de983d56d364ce1dfc193	5.36	7	1268.03	1.3033	25/03/09 12:03:00	WS	scBTC
0xabea63c0967f2f5faf4b262c0104233ab5a56ac8	0xe67200254a820cc4221de983d56d364ce1dfc193	4.63	11	42895.89	59.8990	25/02/24 05:02:00	WS	scBTC
0xe6752a7b07eefc96b4e14e9ba35adc09400d426d	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	4.51	9	16.57	0.0182	25/05/08 03:05:00	wS	scBTC
0x96d15653fb863885d978482411097aab908cca62	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	4.28	1	227.05	0.0266	25/02/24 02:02:00	WS	scBTC
0xafe350c76d31b73b5901eaccb86f2834c5ec0a3b	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	4.13	42	68294.12	324.4820	25/02/24 03:02:00	WS	scBTC
0x2a48d3be1b3603af83ff5f72df5b14b8cfd37164	0xe67200254a820cc4221de983d56d364ce1dfc193	3.91	82	18346.60	160.8290	25/02/24 04:02:00	wS	scBTC
0xf4ee4b8976cd874dfe860302546e0d9886b89034	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	3.31	1	17664.55	1.6015	25/02/24 02:02:00	WS	scBTC
0xb68376bf520a91268ef73b9d544fe97acfd1d4e9	0xe67200254a820cc4221de983d56d364ce1dfc193	3.01	82	217.78	1.4553	25/02/25 00:02:00	wS	scBTC
0x4fffb2443443a5a55fdf0e696babd1012b73e859	0xe67200254a820cc4221de983d56d364ce1dfc193	2.98	1	5969.48	0.4876	25/02/24 03:02:00	WS	scBTC
0xb7391a758869f5a9950506ba403366f03caf3a29	0xe67200254a820cc4221de983d56d364ce1dfc193	2.87	81	143.19	0.9109	25/02/24 02:02:00	WS	scBTC
0x1a1e9c7a68e7184f4f103a895b3dc612ee745136	0xe67200254a820cc4221de983d56d364ce1dfc193	2.86	81	183.76	1.1678	25/02/24 02:02:00	WS	scBTC
0xeee694915cae91d5ff67eb959f113c9db80a63d2	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	2.73	79	676.77	3.9684	25/02/27 16:02:00	wS	scBTC
0x3ba8fcef80fd313cba8a03158fcb7e44dd3b0674	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	2.56	82	352.86	2.0275	25/02/24 03:02:00	wS	scBTC
0x1db383f83b61e5ab316366c2b1ab12d6d0f25eaa	0xe67200254a820cc4221de983d56d364ce1dfc193	2.52	77	603.84	3.1998	25/03/01 08:03:00	wS	scBTC
0xaddadf3df10bebfff7201427d50cc0448e2e6f3a	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	2.40	82	2622.88	14.1094	25/02/24 03:02:00	wS	scBTC
0x1b36c26c8f3b330787f6be03083eb8b9b2f1a6d5	0xe67200254a820cc4221de983d56d364ce1dfc193	1.77	50	32723.50	77.8982	25/03/28 21:03:00	wS	scBTC
0xefe5fec1bf728eca069e7afa0d936572fb3922c6	0xe67200254a820cc4221de983d56d364ce1dfc193	1.46	5	22862.68	4.5631	25/02/27 08:02:00	WS	scBTC
0xe04a10cb9d3c9b570391de69c070a676c977b900	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	1.18	24	23.22	0.0174	25/04/23 21:04:00	wS	scBTC
0x3dc5c7cea4f7551cb46645cf090a844a0f576293	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	0.89	46	503.58	0.5638	25/04/01 04:04:00	wS	scBTC
0x52da231f5df9d35944149884037cd47501e3408e	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	0.86	55	366.07	0.4697	25/03/23 16:03:00	wS	scBTC
0xab03d86c0cfe9790752073d31bccfb00b8998740	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	0.70	75	11577.20	16.3905	25/03/03 18:03:00	wS	scBTC
0x9c1c9a65b57a2c2c53518a5cae3ad64b62fc9848	0xe67200254a820cc4221de983d56d364ce1dfc193	0.62	67	604.24	0.6764	25/03/11 22:03:00	wS	scBTC
0x5b1164dac546b37f4dea2f393b39602403422dd5	0xe67200254a820cc4221de983d56d364ce1dfc193	0.54	78	107120.00	122.1380	25/02/28 17:02:00	wS	scBTC
0xac32fd38b21720e05290bddc10d8504fa8f2b7b4	0xe67200254a820cc4221de983d56d364ce1dfc193	0.52	81	183.49	0.2100	25/02/25 01:02:00	wS	scBTC
0x3954813cded310dd5f4704c0903c7e3a614b238e	0xe67200254a820cc4221de983d56d364ce1dfc193	0.43	82	37310.30	36.0807	25/02/24 05:02:00	wS	scBTC
0x73e9f22012883e19521aa8060b0603d708bf4390	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	0.29	82	21375.70	13.7500	25/02/24 02:02:00	wS	scBTC
0x7a9147fe98b3a96503821ace49e90b4a62d55b34	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	0.20	31	2532.49	0.4361	25/02/28 22:02:00	WS	scBTC
0x06dfeeef76f8d844721d62ce3cf2880230b79ffe	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	0.15	1	1168.52	0.0047	25/02/27 23:02:00	WS	scBTC
0xba1461e8d222e1b3c05126774c1f4714abe33cd8	0xe67200254a820cc4221de983d56d364ce1dfc193	0.11	1	0.12	0.0000	25/03/18 12:03:00	WS	scBTC
0x88b35c2324cd1ddc58df3b2a43e19178a3056f06	0x73eb2dd6b08d47af3081486df9345bd334a1fe01	0.10	4	1071.40	0.0115	25/02/24 03:02:00	WS	scBTC
0x3d7123082c6cda9cdcc4324ba4cb9f6aa8a73af5	0xe67200254a820cc4221de983d56d364ce1dfc193	0.01	1	727.11	0.0001	25/03/31 12:03:00	WS	scBTC
