id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	impermanent_loss	wallet	open_price	close_price	open_date	close_date
10783958	-68000	-66000	2000	23126.540117	1.782	23078.583879	1.78263432	156802.30791311842	27075.27645303622	9.09	110.57	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744168781	1745326800
10784192	-68000	-66000	2000	24077.531208	1.782	23618.041667	1.78807329	157753.29900411842	27154.354673592887	9.06	110.22	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744169107	1745326800
10784158	-68000	-66000	2000	24222.632686	1.782	24185.096558	1.78249593	157898.40048211842	27073.213367000026	9.02	109.79	0	0.00		75014.46004271516301949701670249561	90203.02071103097894253410031531367	1744169073	1745326800
10782242	-68000	-66000	2000	25606.466501	1.782	25606.4665	1.78199999	160256.14774996476	26092.100755062253	8.57	104.26	0	0.00		75560.98835519908496436769067383276	90203.02071103097894253410031531367	1744165761	1745326800
10782656	-68000	-66000	2000	26347.448488	1.782	26066.359478	1.78570633	160997.12973696477	26145.334809844346	8.55	103.99	0	0.00		75560.98835519908496436769067383276	90203.02071103097894253410031531367	1744166413	1745326800
10782614	-68000	-66000	2000	26372.358159	1.782	26351.51183	1.78227482	161022.03940796477	26096.04492324424	8.53	103.78	0	0.00		75560.98835519908496436769067383276	90203.02071103097894253410031531367	1744166345	1745326800
10782593	-68000	-66000	2000	26574.302986	1.782	26471.130543	1.78335994	161223.98423496477	26111.599911078218	8.52	103.71	0	0.00		75560.98835519908496436769067383276	90203.02071103097894253410031531367	1744166313	1745326800
10782514	-68000	-66000	2000	27629.482975	1.782	27081.918913	1.78921194	162279.16422396476	26195.076369279144	8.50	103.37	0	0.00		75560.98835519908496436769067383276	90203.02071103097894253410031531367	1744166173	1745326800
10782133	-68000	-66000	2000	28824.143246	1.782	28824.143245	1.78199999	163473.82449496476	26092.100755062253	8.40	102.21	0	0.00		75560.98835519908496436769067383276	90203.02071103097894253410031531367	1744165581	1745326800
10782055	-68000	-66000	2000	29307.398424	1.782	29088.769538	1.78487429	163957.07967296476	26132.742412491956	8.39	102.06	0	0.00		75560.98835519908496436769067383276	90203.02071103097894253410031531367	1744165463	1745326800
10782110	-68000	-66000	2000	28950.305659	1.782	28948.131862	1.78202858	163599.98690796478	26092.505863424354	8.39	102.13	0	0.00		75560.98835519908496436769067383276	90203.02071103097894253410031531367	1744165539	1745326800
10781925	-68000	-66000	2000	30350.938907	1.782	29711.480434	1.79040055	165000.62015596477	26210.398170726497	8.36	101.72	0	0.00		75560.98835519908496436769067383276	90203.02071103097894253410031531367	1744165247	1745326800
10803408	-68000	-66000	2000	27846.535557	1.782	27846.535556	1.78199999	163601.7944425448	24986.52311848221	8.04	97.80	0	0.00		76181.40229267385777384870702733849	90203.02071103097894253410031531367	1744198793	1745326800
10785846	-68000	-66000	2000	25176.55949	1.782	25002.850054	1.78429302	161307.87692593515	24643.593365672863	8.04	97.83	0	0.00		76392.43402689963998792778845558584	90203.02071103097894253410031531367	1744172393	1745326800
10785822	-68000	-66000	2000	25176.55949	1.782	25176.559489	1.78199999	161307.87692593515	24610.464568091855	8.03	97.70	0	0.00		76392.43402689963998792778845558584	90203.02071103097894253410031531367	1744172343	1745326800
10785729	-68000	-66000	2000	25823.304832	1.782	25477.676663	1.7865599	161954.62226793516	24676.154056262283	8.02	97.57	0	0.00		76392.43402689963998792778845558584	90203.02071103097894253410031531367	1744172079	1745326800
10803785	-68000	-66000	2000	28719.314576	1.782	28719.314575	1.78199999	164474.57346154482	24986.52311848221	8.00	97.28	0	0.00		76181.40229267385777384870702733849	90203.02071103097894253410031531367	1744199279	1745326800
10779739	-68000	-66000	2000	31673.91202	1.782	31457.281261	1.78484162	167104.15847935478	25351.228396415296	7.98	97.15	0	0.00		75999.01597045722691321185395574821	90203.02071103097894253410031531367	1744160829	1745326800
10660427	-68000	-66000	2000	43576.11145	1.782	43201.810309	1.78685952	176738.23333829877	27643.70326096411	7.95	96.76	0	0.00		74726.21879253578700247419462836051	90203.02071103097894253410031531367	1744005965	1745326800
10779685	-68000	-66000	2000	32554.090794	1.782	32331.164442	1.78492182	167984.33725335478	25352.16708567635	7.94	96.64	0	0.00		75999.01597045722691321185395574821	90203.02071103097894253410031531367	1744160779	1745326800
10779670	-68000	-66000	2000	32767.68094	1.78118755	32593.735838	1.78346684	168136.1819988296	25331.65014512738	7.93	96.48	0	0.00		75999.01597045722691321185395574821	90203.02071103097894253410031531367	1744160749	1745326800
10804134	-68000	-66000	2000	30461.136247	1.782	30439.01849	1.78229042	166216.3951325448	24990.603025787306	7.91	96.28	0	0.00		76181.40229267385777384870702733849	90203.02071103097894253410031531367	1744199821	1745326800
10660384	-68000	-66000	2000	44603.923815	1.782	44603.923814	1.78199999	177766.04570329876	27579.66011572825	7.89	95.98	0	0.00		74726.21879253578700247419462836051	90203.02071103097894253410031531367	1744005901	1745326800
10803119	-68000	-66000	2000	31767.996848	1.782	31632.131679	1.78378195	167523.25573354482	25011.39612526842	7.86	95.61	0	0.00		76181.40229267385777384870702733849	90203.02071103097894253410031531367	1744198381	1745326800
10776764	-68000	-66000	2000	28720.788643	1.78122962	28667.711095	1.78192774	164881.7503842945	24521.22554748616	7.83	95.23	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744157113	1745326800
10774915	-68000	-66000	2000	31803.698337	1.782	31803.698336	1.78199999	167756.7148589529	24788.765482074123	7.78	94.62	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744154949	1745326800
10776137	-68000	-66000	2000	32426.358533	1.782	32056.794053	1.78684474	168379.3750549529	24856.212087663884	7.77	94.53	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744156363	1745326800
10776331	-68000	-66000	2000	32350.720205	1.782	32350.720204	1.78199999	168303.7367269529	24788.765482074123	7.75	94.31	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744156583	1745326800
10776426	-68000	-66000	2000	32350.720205	1.782	32350.720204	1.78199999	168303.7367269529	24788.765482074123	7.75	94.31	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744156677	1745326800
10776497	-68000	-66000	2000	32350.720205	1.782	32350.720204	1.78199999	168303.7367269529	24788.765482074123	7.75	94.31	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744156765	1745326800
10774890	-68000	-66000	2000	32764.208039	1.782	32652.801664	1.78345979	168717.2245609529	24809.03747770806	7.74	94.16	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744154907	1745326800
10775891	-68000	-66000	2000	32801.515147	1.782	32801.515146	1.78199999	168754.5316689529	24788.765482074123	7.73	94.06	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744156079	1745326800
10774461	-68000	-66000	2000	33138.413585	1.782	33138.413584	1.78199999	169091.4301069529	24788.765482074123	7.72	93.88	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744154333	1745326800
10776085	-68000	-66000	2000	33689.601513	1.782	33316.868764	1.7868806	169642.6180349529	24856.278498986576	7.71	93.83	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744156291	1745326800
10775844	-68000	-66000	2000	33605.174596	1.782	33260.326617	1.78651575	169558.1911179529	24851.252696880154	7.71	93.85	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744156025	1745326800
10774849	-68000	-66000	2000	33620.873155	1.782	33410.195939	1.78475855	169573.8896769529	24826.91871188672	7.71	93.75	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744154859	1745326800
10775703	-68000	-66000	2000	33845.603214	1.782	33619.573018	1.78495899	169798.6197359529	24829.646025358037	7.70	93.64	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744155855	1745326800
